cuenta;valor_credito;num_embargos;pendiente_total;aplicado_sobregiro;estado_trx_006;clasificacion
410000000028;2603333,95;1;33329092,11;612100,29;RECHAZADO;ALERTA
410000000040;5959417,99;1;6206857,13;0;APLICADO;NORMAL
410000000073;1438669,48;1;1136474,38;426541,57999999996;RECHAZADO;ALERTA
410000000074;5105732,82;1;1327524,59;2882319,23;RECHAZADO;ALERTA
410000000077;437559,41;1;16671248,15;245079,55;RECHAZADO;ALERTA
410000000079;8512009,43;1;5303084,06;1795528,3699999999;APLICADO;ALERTA
410000000187;5522396,05;1;3031477,52;3640985,01;RECHAZADO;ALERTA
410000000212;6719507,87;1;8710776,58;0;APLICADO;NORMAL
410000000217;995667,83;1;1404682,13;470671,24;RECHAZADO;ALERTA
410000000222;5190487,65;1;11973101,49;2512460,29;RECHAZADO;ALERTA
410000000235;5135492,88;1;8832960,6;2616384,85;APLICADO;ALERTA
410000000280;4147222,36;1;3135326,02;2222495,81;APLICADO;ALERTA
410000000347;6207966,15;1;28853523,65;0;APLICADO;NORMAL
410000000352;2076811,69;1;16582587,2;644483,0700000001;RECHAZADO;ALERTA
410000000357;6249467,6;1;3473369,99;3936770,12;RECHAZADO;ALERTA
410000000364;2302340,68;1;27469150,77;0;APLICADO;NORMAL
410000000467;1262381,9;1;21962140,02;634957,5700000001;APLICADO;ALERTA
410000000476;4902748,8;1;2924039,02;0;APLICADO;NORMAL
410000000491;2789961,59;1;14502204,78;0;APLICADO;NORMAL
410000000507;4609219,22;1;11122068,52;0;APLICADO;NORMAL
410000000594;4244831,58;1;675203,75;1702062,0999999999;APLICADO;ALERTA
410000000642;624500,35;2;13515549,69;0;APLICADO;NORMAL
410000000643;307995,38;1;19398627,72;164750,02;RECHAZADO;ALERTA
410000000697;3202426,64;1;19792850,77;0;APLICADO;NORMAL
410000000698;5286822,14;1;15969640,96;0;APLICADO;NORMAL
410000000757;6754012,46;1;1611854,44;0;APLICADO;NORMAL
410000000767;6457071,96;1;757116,65;0;APLICADO;NORMAL
410000000772;1045252,73;1;12493687,15;239894,05;APLICADO;ALERTA
410000000820;5530870,4;1;9759215,86;2933955,56;RECHAZADO;ALERTA
410000000874;4724377,3;1;1533452,01;0;APLICADO;NORMAL
410000000898;2882964,06;1;5947017,03;1741000,6600000001;APLICADO;ALERTA
410000000922;5114448,24;1;12944004,25;0;APLICADO;NORMAL
410000000966;6307754,97;1;8272092,71;0;APLICADO;NORMAL
410000000994;1885720,06;1;5992815,42;0;APLICADO;NORMAL
